IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.174.142,2096,2096,true,SIN,Asia Pacific,Singapore,127,1.06
8.222.134.170,2082,2082,false,SIN,Asia Pacific,Singapore,101,1.06
47.236.146.249,2052,2052,false,SIN,Asia Pacific,Singapore,56,1.04
47.236.202.91,2087,2087,true,SIN,Asia Pacific,Singapore,92,1.03
8.219.87.30,2095,2095,false,SIN,Asia Pacific,Singapore,145,1.02
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,70,1.01
8.222.164.209,2087,2087,true,SIN,Asia Pacific,Singapore,58,1.01
8.222.164.209,2052,2052,false,SIN,Asia Pacific,Singapore,93,1.01
47.236.174.206,2086,2086,false,SIN,Asia Pacific,Singapore,122,1.00
47.245.96.80,2087,2087,true,SIN,Asia Pacific,Singapore,50,0.99
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,68,0.98
8.219.106.156,2095,2095,false,SIN,Asia Pacific,Singapore,70,0.97
47.236.232.148,2053,2053,true,SIN,Asia Pacific,Singapore,81,0.97
47.236.102.102,2095,2095,false,SIN,Asia Pacific,Singapore,56,0.95
47.236.172.95,2052,2052,false,SIN,Asia Pacific,Singapore,101,0.95
47.236.189.92,2095,2095,false,SIN,Asia Pacific,Singapore,64,0.95
47.237.11.182,2082,2082,false,SIN,Asia Pacific,Singapore,60,0.94
47.237.94.140,8880,8880,false,SIN,Asia Pacific,Singapore,147,0.93
8.219.78.1,2086,2086,false,SIN,Asia Pacific,Singapore,99,0.92
8.219.42.72,2096,2096,true,SIN,Asia Pacific,Singapore,95,0.91
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,116,0.91
8.219.126.240,2086,2086,false,SIN,Asia Pacific,Singapore,63,0.90
47.237.11.182,8880,8880,false,SIN,Asia Pacific,Singapore,76,0.90
47.237.14.220,2053,2053,true,SIN,Asia Pacific,Singapore,93,0.90
47.236.174.206,2082,2082,false,SIN,Asia Pacific,Singapore,83,0.89
8.219.60.54,8880,8880,false,SIN,Asia Pacific,Singapore,56,0.89
8.219.107.135,2095,2095,false,SIN,Asia Pacific,Singapore,82,0.89
8.222.156.242,2053,2053,true,SIN,Asia Pacific,Singapore,74,0.89
47.236.167.231,2086,2086,false,SIN,Asia Pacific,Singapore,125,0.89
47.236.144.196,8443,8443,true,SIN,Asia Pacific,Singapore,63,0.87
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,58,0.84
47.245.96.80,8443,8443,true,SIN,Asia Pacific,Singapore,59,0.84
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,55,0.83
47.236.180.51,8880,8880,false,SIN,Asia Pacific,Singapore,147,0.83
8.222.193.65,2082,2082,false,SIN,Asia Pacific,Singapore,96,0.82
8.222.137.192,8880,8880,false,SIN,Asia Pacific,Singapore,65,0.81
8.219.139.13,8880,8880,false,SIN,Asia Pacific,Singapore,58,0.81
47.236.170.225,2095,2095,false,SIN,Asia Pacific,Singapore,60,0.81
47.237.10.1,2083,2083,true,SIN,Asia Pacific,Singapore,63,0.80
47.237.95.13,2095,2095,false,SIN,Asia Pacific,Singapore,152,0.78
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,138,0.78
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,56,0.78
8.219.194.170,2095,2095,false,SIN,Asia Pacific,Singapore,62,0.78
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,133,0.78
47.236.80.110,2083,2083,true,SIN,Asia Pacific,Singapore,62,0.77
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,59,0.76
47.236.10.100,8880,8880,false,SIN,Asia Pacific,Singapore,64,0.76
47.237.11.182,2095,2095,false,SIN,Asia Pacific,Singapore,62,0.73
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,64,0.71
47.236.118.216,2087,2087,true,SIN,Asia Pacific,Singapore,60,0.70
8.219.100.168,2083,2083,true,SIN,Asia Pacific,Singapore,78,0.70
47.236.75.152,2087,2087,true,SIN,Asia Pacific,Singapore,75,0.70
47.237.84.173,8880,8880,false,SIN,Asia Pacific,Singapore,104,0.70
8.222.191.138,2053,2053,true,SIN,Asia Pacific,Singapore,58,0.70
47.237.83.20,8880,8880,false,SIN,Asia Pacific,Singapore,128,0.70
8.219.161.129,2086,2086,false,SIN,Asia Pacific,Singapore,74,0.68
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,67,0.68
8.222.156.242,2086,2086,false,SIN,Asia Pacific,Singapore,85,0.67
8.219.111.175,2096,2096,true,SIN,Asia Pacific,Singapore,67,0.66
47.236.254.120,2082,2082,false,SIN,Asia Pacific,Singapore,54,0.65
47.237.100.206,2086,2086,false,SIN,Asia Pacific,Singapore,57,0.65
8.219.229.190,2095,2095,false,SIN,Asia Pacific,Singapore,100,0.65
47.237.100.206,2052,2052,false,SIN,Asia Pacific,Singapore,83,0.64
8.219.229.190,2086,2086,false,SIN,Asia Pacific,Singapore,116,0.63
8.219.170.232,2087,2087,true,SIN,Asia Pacific,Singapore,57,0.63
47.237.10.1,2086,2086,false,SIN,Asia Pacific,Singapore,91,0.63
8.222.137.192,2083,2083,true,SIN,Asia Pacific,Singapore,57,0.63
47.236.121.23,8880,8880,false,SIN,Asia Pacific,Singapore,115,0.62
47.236.150.13,2082,2082,false,SIN,Asia Pacific,Singapore,59,0.62
8.219.142.191,2095,2095,false,SIN,Asia Pacific,Singapore,85,0.62
8.222.187.4,2095,2095,false,SIN,Asia Pacific,Singapore,108,0.62
47.236.232.148,8880,8880,false,SIN,Asia Pacific,Singapore,135,0.60
